brand,year,model,mileage,registration_time,price,warranty_time,city,link
揽胜,2020款,3.0 L6 传世加长版,10,2020,99.8,,大连,https://www.che168.com/dealer/76347/50636573.html#pvareaid=100334
奔驰GLS,2023款,GLS 450 4MATIC 豪华型,0.5,2023,99,"原厂质保期剩余23个月, ",大连,https://www.che168.com/dealer/194682/51252059.html#pvareaid=100334
战车,2017款,6.8T 自动,3,2017,98,,大连,https://www.che168.com/dealer/112308/50914571.html#pvareaid=100334
迈巴赫S级,2020款,S 450 4MATIC 典藏版,5.32,2020,94,,大连,https://www.che168.com/dealer/351179/51456067.html#pvareaid=100334
宝马X7,2023款,xDrive40i 尊享型豪华套装,1.4,2023,93.58,"原厂质保期剩余18个月, ",大连,https://www.che168.com/dealer/141917/51109409.html#pvareaid=100334
揽胜,2019款,3.0 SCV6 传世版,5,2019,92.98,,大连,https://www.che168.com/dealer/526798/51030077.html#pvareaid=100334
揽胜,2019款,3.0 SC V6 传世加长版,9.9,2019,89.8,,大连,https://www.che168.com/dealer/448774/51437155.html#pvareaid=100334
欧陆,2014款,4.0T GT V8 S 标准版,8,2014,88.8,,大连,https://www.che168.com/dealer/367534/48557714.html#pvareaid=100334
迈巴赫S级,2020款,S 450 4MATIC,4.3,2019,87.8,,大连,https://www.che168.com/dealer/367534/51314050.html#pvareaid=100334
奔驰G级,2017款,G 500,6.91,2017,84,,大连,https://www.che168.com/dealer/351179/51492545.html#pvareaid=100334
揽胜,2018款,3.0 SC V6 Vogue 传世版,11,2020,83.8,,大连,https://www.che168.com/dealer/281542/50473873.html#pvareaid=100334
奔驰S级AMG,2015款,AMG S 63 4MATIC Coupe,7.9,2016,82.8,,大连,https://www.che168.com/dealer/76347/49750054.html#pvareaid=100334
奥迪R8,2014款,Spyder 5.2 FSI quattro,3,2018,81.9,,大连,https://www.che168.com/dealer/484900/51244756.html#pvareaid=100334
揽胜,2018款,3.0 SC V6 Vogue 传世版,5,2019,79.8,,大连,https://www.che168.com/dealer/281542/50966278.html#pvareaid=100334
迈巴赫S级,2018款,S 450 4MATIC,6.7,2018,79.8,,大连,https://www.che168.com/dealer/313534/50769578.html#pvareaid=100334
飞驰,2013款,6.0T W12 豪华版,8,2013,79,,大连,https://www.che168.com/dealer/126692/50701684.html#pvareaid=100334
欧陆,2013款,6.0T GT Speed,8,2013,78,,大连,https://www.che168.com/dealer/126692/50097424.html#pvareaid=100334
欧陆,2012款,4.0T GT V8,9,2013,78,,大连,https://www.che168.com/dealer/118242/51061520.html#pvareaid=100334
揽胜,2018款,3.0 SC V6 Vogue SE 创世加长版,18,2018,77,,大连,https://www.che168.com/dealer/126692/51270214.html#pvareaid=100334
迈巴赫S级,2018款,S 450 4MATIC,15,2018,76.8,,大连,https://www.che168.com/dealer/142541/50943698.html#pvareaid=100334
路虎卫士,2023款,改款 110 3.0T P400 X-DYNAMIC HSE,5,2023,75,原厂质保期剩余21个月,大连,https://www.che168.com/dealer/490144/51339237.html#pvareaid=100334
Ghibli,2020款,3.0T 皇家特别版,0.2,2020,75,,大连,https://www.che168.com/dealer/126692/50470031.html#pvareaid=100334
埃尔法,2021款,双擎 2.5L 豪华版,2.8,2022,75,原厂质保期剩余5个月,大连,https://www.che168.com/dealer/254767/51483261.html#pvareaid=100334
揽胜,2017款,3.0T 柴油欧规版,5.9,2020,73.8,,大连,https://www.che168.com/dealer/367534/50006374.html#pvareaid=100334
迈巴赫S级,2017款,S 500 4MATIC,10.8,2017,73.8,,大连,https://www.che168.com/dealer/202062/51052764.html#pvareaid=100334
奔驰S级,2022款,S 400 L 商务型,0.6,2022,72.8,原厂质保期剩余10个月,大连,https://www.che168.com/dealer/490144/51231597.html#pvareaid=100334
路虎卫士,2023款,改款 110 3.0T P400 X-DYNAMIC HSE,4.6,2023,72.8,原厂质保期剩余18个月,大连,https://www.che168.com/dealer/490144/51551849.html#pvareaid=100334
Taycan,2022款,Taycan 4S,1.3,2022,72.8,"原厂质保期剩余14个月, ",大连,https://www.che168.com/dealer/515827/51500013.html#pvareaid=100334
奔驰GLS,2021款,GLS 400 4MATIC,7,2021,71,,大连,https://www.che168.com/dealer/490144/50987823.html#pvareaid=100334
揽胜,2016款,3.0 SC V6 Vogue SE 尊崇创世加长版,12,2016,71,,大连,https://www.che168.com/dealer/126692/50650146.html#pvareaid=100334
奥迪A8,2024款,A8L 50 TFSI quattro 臻选型,0.01,2024,70.98,"原厂质保期剩余34个月, ",大连,https://www.che168.com/dealer/119851/51299071.html#pvareaid=100334
奥迪A8,2024款,A8L 50 TFSI quattro 臻选型,0.01,2024,70.98,"原厂质保期剩余34个月, ",大连,https://www.che168.com/dealer/119851/51472774.html#pvareaid=100334
欧陆,2012款,4.0T GT V8,6,2013,70.8,,大连,https://www.che168.com/dealer/118242/51284015.html#pvareaid=100334
AMG,GT,2020款 AMG GT 50 四门跑车,4.1,2021,69.8,,大连,https://www.che168.com/dealer/367534/48590312.html#pvareaid=100334
日产GT-R,2012款,3.8T 美规版,1.77,2013,69.8,,大连,https://www.che168.com/dealer/367534/49443022.html#pvareaid=100334
奥迪RS,6,2016款 RS 6 4.0T Avant,4.2,2018,69.8,,大连,https://www.che168.com/dealer/422942/51108369.html#pvareaid=100334
揽胜,2017款,3.0 SC V6 Vogue SE 创世加长版,17,2017,69,,大连,https://www.che168.com/dealer/194682/50033915.html#pvareaid=100334
揽胜,2015款,5.0 SC V8 AB 尊崇创世加长版,9.5,2015,68.8,,大连,https://www.che168.com/dealer/520234/51084326.html#pvareaid=100334
揽胜,2017款,3.0 SC V6 Vogue 加长版,13,2017,68.8,,大连,https://www.che168.com/dealer/520234/51168740.html#pvareaid=100334
揽胜,2017款,3.0 SC V6 盛世版,6.3,2018,68.8,,大连,https://www.che168.com/dealer/479309/51528685.html#pvareaid=100334
揽胜运动版,2020款,3.0 L6 HST,4.3,2020,68,,大连,https://www.che168.com/dealer/554323/50127569.html#pvareaid=100334
埃尔法,2018款,改款 3.5L 尊贵版,11,2018,68,,大连,https://www.che168.com/dealer/112308/51442729.html#pvareaid=100334
SAVANA,2019款,6.0L GL750 雅尊天逸版,2.5,2020,67.8,,大连,https://www.che168.com/dealer/218413/47787728.html#pvareaid=100334
埃尔法,2020款,双擎 2.5L 豪华版,7,2020,67,,大连,https://www.che168.com/dealer/338748/49939371.html#pvareaid=100334
揽胜,2017款,3.0 SC V6 Vogue,13,2018,66.66,,大连,https://www.che168.com/dealer/520234/50534213.html#pvareaid=100334
揽胜,2014款,5.0T 自动,8,2014,66,,大连,https://www.che168.com/dealer/142541/50308529.html#pvareaid=100334
埃尔法,2018款,改款 3.5L 尊贵版,12,2019,65.5,,大连,https://www.che168.com/dealer/313534/51520053.html#pvareaid=100334
AMG,GT,2022款 AMG GT 50 四门跑车,2,2022,65,原厂质保期剩余8个月,大连,https://www.che168.com/dealer/490144/51267591.html#pvareaid=100334
保时捷718,2022款,Boxster 2.0T,0.17,2023,65,"原厂质保期剩余18个月, ",大连,https://www.che168.com/dealer/577309/51117379.html#pvareaid=100334
Macan,2023款,Macan S 2.9T,0.47,2023,65,"原厂质保期剩余21个月, ",大连,https://www.che168.com/dealer/577309/51117390.html#pvareaid=100334
兰德酷路泽(进口),2020款,4.0L 自动,7,2020,63.98,,大连,https://www.che168.com/dealer/340922/50899850.html#pvareaid=100334
宝马7系,2021款,740Li xDrive 行政型 豪华套装,6,2021,63.88,,大连,https://www.che168.com/dealer/347029/51117973.html#pvareaid=100334
威尔法,2020款,双擎 2.5L HV豪华版,6,2020,63.8,,大连,https://www.che168.com/dealer/76347/51493537.html#pvareaid=100334
埃尔法,2018款,改款 3.5L 尊贵版,13,2018,63.8,,大连,https://www.che168.com/dealer/76347/50822138.html#pvareaid=100334
奔驰S级,2021款,S 400 L 商务型,5.6,2021,62.98,,大连,https://www.che168.com/dealer/340922/51537744.html#pvareaid=100334
揽胜,2014款,3.0 SC V6 Vogue SE,5.2,2024,62.8,原厂质保期剩余34个月,大连,https://www.che168.com/dealer/448774/51445856.html#pvareaid=100334
奔驰G级,2010款,G 500,16,2013,62.8,,大连,https://www.che168.com/dealer/520234/51220930.html#pvareaid=100334
路虎卫士,2021款,110 P400 X-DYNAMIC HSE,7,2021,62.5,,大连,https://www.che168.com/dealer/313534/50164170.html#pvareaid=100334
揽胜运动版,2020款,3.0 L6 HSE DYNAMIC,5.3,2020,61.98,,大连,https://www.che168.com/dealer/526798/50976368.html#pvareaid=100334
奥迪A8,2023款,A8L 50 TFSI quattro 臻选型,3.5,2023,61.98,"原厂质保期剩余18个月, ",大连,https://www.che168.com/dealer/119851/51110791.html#pvareaid=100334
揽胜,2017款,3.0 SC V6 Vogue,15,2018,61.8,,大连,https://www.che168.com/dealer/523631/50351171.html#pvareaid=100334
揽胜,2013款,5.0 SC V8 AB 尊崇创世版,13,2014,61.8,,大连,https://www.che168.com/dealer/342150/51190687.html#pvareaid=100334
兰德酷路泽(进口),2016款,4.0L 中东版,5,2019,61,,大连,https://www.che168.com/dealer/194682/50945555.html#pvareaid=100334
揽胜运动版,2022款,3.0 L6 耀黑版,5,2021,61,原厂质保期剩余4个月,大连,https://www.che168.com/dealer/194682/51469749.html#pvareaid=100334
兰德酷路泽(进口),2017款,5.7L 自动,12,2017,60.8,,大连,https://www.che168.com/dealer/342150/43710725.html#pvareaid=100334
兰德酷路泽(进口),2016款,4.0L 中东版,4.8,2020,59.8,,大连,https://www.che168.com/dealer/523631/51332260.html#pvareaid=100334
揽胜,2017款,3.0 SC V6 Vogue,14,2018,59.8,,大连,https://www.che168.com/dealer/213752/50288633.html#pvareaid=100334
领航员,2020款,3.5T 尊耀版,9,2020,59.8,,大连,https://www.che168.com/dealer/340922/51112194.html#pvareaid=100334
迈巴赫S级,2016款,S 400 4MATIC,11,2016,59.8,,大连,https://www.che168.com/dealer/142541/51290429.html#pvareaid=100334
悍马H2,2008款,6.2 AT,5,2007,59.8,,大连,https://www.che168.com/dealer/254996/49875868.html#pvareaid=100334
奔驰S级,2018款,S 450 L 4MATIC,7.8,2018,59.8,,大连,https://www.che168.com/dealer/520234/51226234.html#pvareaid=100334
领航员,2019款,3.5T 尊耀版 国VI,6,2019,59,,大连,https://www.che168.com/dealer/194682/51031596.html#pvareaid=100334
奔驰S级,2020款,S 350 L 商务型 臻藏版,5,2020,58.94,,大连,https://www.che168.com/dealer/557405/51370122.html#pvareaid=100334
欧陆,2010款,Supersports 6.0,7.1,2011,58.8,,大连,https://www.che168.com/dealer/551228/51261295.html#pvareaid=100334
揽胜,2017款,3.0 SC V6 Vogue,7,2018,58.8,,大连,https://www.che168.com/dealer/279909/51560124.html#pvareaid=100334
兰德酷路泽(进口),2016款,4.0L 中东版,5.4,2019,57.8,,大连,https://www.che168.com/dealer/367534/50651636.html#pvareaid=100334
AMG,GT,2020款 AMG GT 50 四门跑车,5,2020,57.8,,大连,https://www.che168.com/dealer/76347/51394925.html#pvareaid=100334
SAVANA,2019款,6.0L GL750 雅尊天逸版,7.3,2020,57.8,,大连,https://www.che168.com/dealer/218413/48329831.html#pvareaid=100334
兰德酷路泽(进口),2016款,4.0L 中东版,10,2018,57.8,,大连,https://www.che168.com/dealer/112308/50730583.html#pvareaid=100334
威尔法,2020款,双擎 2.5L HV豪华版,8,2020,57.8,,大连,https://www.che168.com/dealer/112308/51442682.html#pvareaid=100334
埃尔法,2015款,3.5L 尊贵版,16,2016,57.8,,大连,https://www.che168.com/dealer/254767/50326511.html#pvareaid=100334
奔驰GLS,2018款,GLS 400 4MATIC动感型,5,2019,57.5,,大连,https://www.che168.com/dealer/142541/49887330.html#pvareaid=100334
揽胜,2016款,3.0T 柴油版,13,2016,57.3,,大连,https://www.che168.com/dealer/519280/51108227.html#pvareaid=100334
揽胜运动版,2019款,3.0 L6 HSE DYNAMIC,4.7,2019,56.9,,大连,https://www.che168.com/dealer/371510/51410932.html#pvareaid=100334
揽胜,2015款,3.0 SC V6 Vogue SE 创世加长版,14,2014,56.8,,大连,https://www.che168.com/dealer/76347/50822068.html#pvareaid=100334
揽胜运动版,2020款,3.0 L6 SE,4.2,2020,56.8,,大连,https://www.che168.com/dealer/520234/51385051.html#pvareaid=100334
揽胜,2016款,3.0 SC V6 Vogue,12,2016,56.5,,大连,https://www.che168.com/dealer/142541/50942930.html#pvareaid=100334
奔驰GLE轿跑,2022款,改款 GLE 350 4MATIC 轿跑SUV 豪华型,5,2021,56,原厂质保期剩余2个月,大连,https://www.che168.com/dealer/126692/48758364.html#pvareaid=100334
揽胜,2013款,5.0 SC V8 Vogue SE,11,2015,56,,大连,https://www.che168.com/dealer/194682/50016237.html#pvareaid=100334
揽胜,2016款,3.0 SC V6 Vogue,14,2016,56,,大连,https://www.che168.com/dealer/194682/51429902.html#pvareaid=100334
奔驰GLE,2022款,改款 GLE 350 4MATIC 时尚型,2,2022,56,原厂质保期剩余11个月,大连,https://www.che168.com/dealer/194682/51483847.html#pvareaid=100334
埃尔法,2018款,3.5L 豪华版,6,2018,55,,大连,https://www.che168.com/dealer/126692/51435669.html#pvareaid=100334
兰德酷路泽(进口),2013款,中东版,13,2014,55,,大连,https://www.che168.com/dealer/194682/50999745.html#pvareaid=100334
日产GT-R,2012款,3.8T Premium Edition,4,2012,55,,大连,https://www.che168.com/dealer/118242/49574861.html#pvareaid=100334
奔驰S级,2019款,S 350 L 尊贵型,5.8,2019,54.5,,大连,https://www.che168.com/dealer/422942/50598999.html#pvareaid=100334
宝马X5进口,2021款,改款 xDrive40i 尊享型 M运动套装,1.78,2021,54.08,原厂质保期剩余3个月,大连,https://www.che168.com/dealer/559088/51498996.html#pvareaid=100334
总裁,2017款,3.0T 标准型,2,2017,54,,大连,https://www.che168.com/dealer/142541/50056961.html#pvareaid=100334
领航员,2019款,3.5T 尊耀版 国VI,9,2019,53.8,,大连,https://www.che168.com/dealer/112308/51269513.html#pvareaid=100334
奥迪A8,2019款,A8L 55 TFSI quattro 豪华型,4.6,2020,53.58,,大连,https://www.che168.com/dealer/119851/51034282.html#pvareaid=100334
阿迪雅房车,2019款,2.3T 自动,5.8,2019,53,,大连,https://www.che168.com/dealer/118242/51359964.html#pvareaid=100334
奔驰S级,2018款,S 450 L 4MATIC,10,2017,52.98,,大连,https://www.che168.com/dealer/313534/51311223.html#pvareaid=100334
揽胜,2015款,3.0 SC V6 Vogue,16.09,2015,52.98,,大连,https://www.che168.com/dealer/559088/50477757.html#pvareaid=100334
奥迪A8,2019款,Plus A8L 55 TFSI quattro 豪华型,5.9,2021,52.8,,大连,https://www.che168.com/dealer/460888/50599425.html#pvareaid=100334
雷克萨斯GX,2015款,400 豪华版,7.1,2017,52,,大连,https://www.che168.com/dealer/196029/51411491.html#pvareaid=100334
GranTurismo,2016款,4.2L 自动,2,2016,52,,大连,https://www.che168.com/dealer/126692/43991412.html#pvareaid=100334
奔驰G级,2007款,G 55 AMG,10,2012,52,,大连,https://www.che168.com/dealer/254996/50588460.html#pvareaid=100334
福特E450房车,2015款,6.8L 自动,2,2015,52,,大连,https://www.che168.com/dealer/118242/51369995.html#pvareaid=100334
领航员,2019款,3.5T 尊耀版 国VI,7,2018,51.8,,大连,https://www.che168.com/dealer/490144/51144609.html#pvareaid=100334
奔驰S级AMG,2014款,AMG S 63 L 4MATIC,12.34,2014,51.8,,大连,https://www.che168.com/dealer/367534/51478134.html#pvareaid=100334
世纪,2023款,2.0T 四座私享版,2,2023,51.8,"原厂质保期剩余17个月, ",大连,https://www.che168.com/dealer/281542/50288174.html#pvareaid=100334
兰德酷路泽(进口),2016款,4.0L 中东版,10.9,2018,51.5,,大连,https://www.che168.com/dealer/249827/51150525.html#pvareaid=100334
发现,2021款,360PS R-Dynamic SE,6,2021,51.5,,大连,https://www.che168.com/dealer/142541/50942805.html#pvareaid=100334
奥迪A8,2021款,A8L 50 TFSI quattro 舒适型,3,2021,50.6,,大连,https://www.che168.com/dealer/526798/48673175.html#pvareaid=100334
奔驰S级,2017款,S 320 L 豪华型,1.67,2017,50.59,,大连,https://www.che168.com/dealer/559088/50814878.html#pvareaid=100334
奥迪A8,2021款,A8L 50 TFSI quattro 豪华型,6.7,2021,50.5,,大连,https://www.che168.com/dealer/63803/50901575.html#pvareaid=100334
发现,2021款,360PS R-Dynamic HSE,4,2022,50.5,原厂质保期剩余5个月,大连,https://www.che168.com/dealer/224091/51548792.html#pvareaid=100334
飞驰,2010款,6.0T 四座版,17,2011,49.88,,大连,https://www.che168.com/dealer/202062/50728960.html#pvareaid=100334
奥迪A8,2019款,A8L 55 TFSI quattro 豪华型,4,2019,49.8,,大连,https://www.che168.com/dealer/526798/49174062.html#pvareaid=100334
领航员,2019款,3.5T 总统系列 国VI,9,2019,49.8,,大连,https://www.che168.com/dealer/484900/51278072.html#pvareaid=100334
奥迪A8,2018款,A8L 55 TFSI quattro尊贵型,10.9,2019,49.8,,大连,https://www.che168.com/dealer/76347/51142786.html#pvareaid=100334
奔驰GLE轿跑,AMG,2015款 AMG GLE 63 4MATIC 轿跑SUV,8,2018,49.8,,大连,https://www.che168.com/dealer/76347/51470977.html#pvareaid=100334
日产GT-R,2012款,3.8T Premium Edition,4,2012,49.8,,大连,https://www.che168.com/dealer/254996/50588372.html#pvareaid=100334
奔驰GLS,2019款,GLS 400 4MATIC动感型臻藏版,8.6,2019,49.5,,大连,https://www.che168.com/dealer/313534/50164277.html#pvareaid=100334
揽胜运动版,2019款,3.0 SC V6 特别版,9,2019,49.5,,大连,https://www.che168.com/dealer/340922/51202924.html#pvareaid=100334
奔驰GLE,2020款,改款 GLE 350 4MATIC 时尚型,3.9,2020,48.98,,大连,https://www.che168.com/dealer/340922/51537725.html#pvareaid=100334
宝马7系,2021款,730Li 豪华套装,2.5,2021,48.8,,大连,https://www.che168.com/dealer/490144/51483948.html#pvareaid=100334
奥迪A8,2021款,A8L 50 TFSI quattro 舒适型,4.9,2021,48.8,原厂质保期剩余不到1个月,大连,https://www.che168.com/dealer/448774/51424509.html#pvareaid=100334
兰德酷路泽(进口),2013款,中东版,14,2012,48.8,,大连,https://www.che168.com/dealer/142541/49603895.html#pvareaid=100334
思域(进口),2017款,2.0T 欧规版,1,2017,48.6,,大连,https://www.che168.com/dealer/347029/50672724.html#pvareaid=100334
奥迪A7,2023款,45 TFSI 臻选型,0.5,2024,48.5,"原厂质保期剩余30个月, ",大连,https://www.che168.com/dealer/63803/50918743.html#pvareaid=100334
奔驰EQS,2022款,改款 450+ 先锋版,0.01,2024,48.43,"原厂质保期剩余33个月, ",大连,https://www.che168.com/dealer/559088/51514620.html#pvareaid=100334
奔驰GL级AMG,2014款,AMG GL 63,13,2016,48,,大连,https://www.che168.com/dealer/194682/51062386.html#pvareaid=100334
奔驰GLE,2020款,改款 GLE 350 4MATIC 时尚型特别版,3,2020,48,,大连,https://www.che168.com/dealer/194682/51455445.html#pvareaid=100334
飞驰,2005款,6.0T 标准型,6.5,2005,48,,大连,https://www.che168.com/dealer/538930/50957578.html#pvareaid=100334
揽胜运动版,2019款,3.0 SC V6 特别版,7.7,2019,47.8,,大连,https://www.che168.com/dealer/367534/51282093.html#pvareaid=100334
奔驰GLS,2017款,GLS 400 4MATIC动感型,13,2017,47.8,,大连,https://www.che168.com/dealer/448774/51395448.html#pvareaid=100334
奔驰GLE,2021款,GLE 350 4MATIC 时尚型,8,2021,46.9,,大连,https://www.che168.com/dealer/484900/51250758.html#pvareaid=100334
揽胜,2015款,3.0 TDV6 Vogue,16,2014,46.8,,大连,https://www.che168.com/dealer/460888/50719009.html#pvareaid=100334
迈特威,2019款,2.0TSI 四驱尊享版 7座,1.8,2019,46.8,,大连,https://www.che168.com/dealer/218413/50937219.html#pvareaid=100334
揽胜,2014款,3.0 SC V6 Vogue,14,2014,46.8,,大连,https://www.che168.com/dealer/254996/49787095.html#pvareaid=100334
揽胜,2015款,3.0 SC V6 黑曜限量版,16,2014,46.8,,大连,https://www.che168.com/dealer/118242/51101272.html#pvareaid=100334
奔驰GLS,2018款,GLS 400 4MATIC动感型,13.74,2018,46.68,,大连,https://www.che168.com/dealer/559088/51504888.html#pvareaid=100334
宝马X5进口,2020款,xDrive40i M运动套装,6,2020,46.5,,大连,https://www.che168.com/dealer/490144/51143353.html#pvareaid=100334
奔驰GLS,2016款,GLS 500 4MATIC,11,2016,46.5,,大连,https://www.che168.com/dealer/279909/51485954.html#pvareaid=100334
揽胜,2014款,3.0 TDV6 Vogue,14,2014,46,,大连,https://www.che168.com/dealer/126692/50489662.html#pvareaid=100334
奔驰S级,2014款,S 500 L 4MATIC,18,2014,46,,大连,https://www.che168.com/dealer/126692/50457342.html#pvareaid=100334
奔驰GLS,2016款,GLS 500 4MATIC,14,2016,46,,大连,https://www.che168.com/dealer/194682/51381560.html#pvareaid=100334
保时捷911,2012款,Carrera 3.4L,7,2015,46,,大连,https://www.che168.com/dealer/118242/41443043.html#pvareaid=100334
迈特威,2019款,2.0TSI 四驱尊享版 7座,3.4,2021,45.8,,大连,https://www.che168.com/dealer/218413/50466586.html#pvareaid=100334
揽胜,2015款,3.0 SC V6 Vogue,13,2015,45.8,,大连,https://www.che168.com/dealer/281542/51550385.html#pvareaid=100334
宝马X5进口,2020款,xDrive40i M运动套装,4.6,2020,45.8,,大连,https://www.che168.com/dealer/141917/51228032.html#pvareaid=100334
依维柯房车,2020款,3.0T 自动,2,2020,45.8,,大连,https://www.che168.com/dealer/118242/51368999.html#pvareaid=100334
奔驰S级,2018款,S 320 L,11,2018,45.7,,大连,https://www.che168.com/dealer/519280/49647832.html#pvareaid=100334
